sentiment_word-情感关键词,sentiment_anls-情感正负面
长;太软;不是舒服;梳不透;不大适合;,1;-1;-1;-1;-1;
挺好;满意;,1;1;
不是湿润;适合;很好;偏干;挺好;,-1;1;1;-1;1;
麻烦;明显;很多;,-1;0;1;
不错;不干;,1;1;
值得;挺好;专业;,1;1;1;
不错;太久;旧;,1;-1;-1;
失望;,-1;
实惠;不错;喜欢;,1;1;1;
满意;,1;
很好;很好;挺好;满意;很好;,1;1;1;1;1;
还可以;一般般;,1;0;
,
挺好;适合;,1;1;
满意;,1;
不值;容易;,-1;1;
,
好;久;,1;0;
好评;不错;犹豫;,1;1;-1;
,
给力;给力;,1;1;
,
喜欢;挺好;挺快;,1;1;1;
很重;,-1;
亲民;很好;超赞;,1;1;1;
郁闷;好烦;无卡;,-1;-1;1;
实惠;挺好;很好;可以;,1;1;1;1;
难吃;,-1;
没有好;一般;,-1;0;
不错;滑滑的;,1;1;
长;清晰;,1;1;
新;坏;,1;-1;
还行;,1;
不错;,1;
,
温和;喜欢;,1;1;
清晰;很大;赞;可以;,1;1;1;1;
,
喜欢;喜欢;,1;1;
挺好;,1;
透明;,1;
可爱;不怎么好;很好;很好;喜欢;,1;-1;1;1;1;
爱不释手;正品;划算;满意;正品;,1;1;1;1;1;
也好;喜欢;还可以;,1;1;1;
小了点;赞;可以;好;,-1;1;1;1;
很好;,1;
差评;罕见;,-1;1;
,
不会欺骗;不好不坏;不错;,1;0;1;
很好;,1;
容易;还可以;,1;1;
,
不错;很棒;,1;1;
一般;,0;
明显;,0;
不好;挺厚;烂;很多;好;,-1;1;-1;1;1;
很好;赞;不错;,1;1;1;
旧;,-1;
,
不错;清晰;,1;1;
不错;,1;
,
不怎么好;一般般;便宜;,-1;0;1;
坏;垃圾;,-1;-1;
不错;,1;
垃圾;贵;通用;随便;低;严重;便宜;,-1;-1;1;-1;-1;-1;1;
不错;,1;
好;快;给力;,1;1;1;
快;挺好;好;,1;1;1;
厚;型;好;,0;1;1;
不对;差评;,-1;-1;
,
喜欢;,1;
不满意;很小;很小;,-1;1;1;
,
正品;很好;不错;挺快;,1;1;1;1;
遗憾;挺大;,-1;1;
难闻;假;,-1;-1;
不错;正品;推荐;很快;可以;很好;不错;值得;满意;,1;1;1;1;1;1;1;1;1;
,
,
不太好;,-1;
,
不错;慢;,1;-1;
不错;,1;
不错;,1;
好东西;垃圾;,1;-1;
不好用;,-1;
不好;好;,-1;1;
不值;不好;,-1;-1;
好;,1;
重;挺好;轻;还可以;,-1;1;1;1;
简陋;还行;看不出;,-1;1;-1;
很大;坏;失望;,1;-1;-1;
不差;浪费;错;,1;-1;-1;
挺好;,1;
过敏;,-1;
,
给力;满意;,1;1;
不行;,-1;
清晰;不错;便宜;好;,1;1;1;1;
差评;牵强;不怎么好;,-1;-1;-1;
能用;,1;
不错;及时;,1;1;
裂开;,-1;
很好;很好;,1;1;
好;满意;到位;,1;1;1;
不多;欺骗;廉价;,0;-1;1;
不好;一般般;,-1;0;
,
无语;久;差评;不是真皮;,-1;0;-1;-1;
牛;新;不牢;本来假;泄露;,1;1;-1;1;-1;
nice;流畅;清晰;可以;好评;满分;,1;1;1;1;1;1;
不好用;,-1;
不错;没什么满意;,1;-1;
很大;专业;不好用;好;推荐;坑爹;不咋地;,1;1;-1;1;1;-1;-1;
坑人;,-1;
很快;挺大;清晰;,1;1;1;
很好;,1;
正品;便宜;,1;1;
,
没好;长;过敏;红点;,-1;1;-1;-1;
不行;太差;很好;可惜;,-1;-1;1;-1;
不错;不容易;中评;没有问题;好;垃圾;,1;1;0;1;1;-1;
省事;不错;好;超好;,1;1;1;1;
不好;偏轻;,-1;-1;
太贵;,-1;
不错;,1;
蛮大;还好;,1;1;
不怎么样;没有好;,-1;-1;
不是很好;,-1;
不好用;,-1;
五星;,1;
很快;,1;
,
无话可说;,-1;
还可以;久;,1;0;
,
赞;辛苦;辛苦;喜欢;满意;,1;1;1;1;1;
很高;,1;
不错;,1;
值得;还好;,1;1;
喜欢;,1;
慢;不太好;,-1;-1;
自然;,1;
,
坏;,-1;
愉快;可以;满意;,1;1;1;
很坑;,-1;
很强;清晰;满意;,1;1;1;
差;,-1;
假;,-1;
很多;满意;便宜;,1;1;1;
不错;,1;
一般;不太好;简单;过于;,0;-1;1;-1;
信赖;值得;好;好用;,1;1;1;1;
太重;不喜欢;,-1;-1;
值得;物美价廉;很好;干净;贴心;很快;实用;表扬;好;精致;满意;好东西;好;,1;1;1;1;1;1;1;1;1;1;1;1;1;
不错;,1;
,
没有便宜;,-1;
不错;贵;,1;-1;
可以;,1;
不是很好;快;很多;,-1;1;1;
杠杠滴;,1;
干巴巴;郁闷;卓越;差劲;还行;不少;烦人;,-1;-1;1;-1;1;1;-1;
不是很好;,-1;
没好;凑合;,-1;0;
疼;痒;,-1;-1;
挺快;很好;,1;1;
便宜;挺好;不错;,1;1;1;
大气;漂亮;超薄;流畅;清晰;满意;喜欢;很好;逼真;美观大方;明显;,1;1;1;1;1;1;1;1;1;1;0;
二手;名不虚传;,-1;1;
很小;可爱;,1;1;
不适用;一般般;,-1;0;
久;还可以;,0;1;
不错;不错;还可以;,1;1;1;
正品;高;极差;环保;狗屁;粗糙;,1;1;-1;1;-1;-1;
不错;,1;
凉快;挺好;舒服;满意;,1;1;1;1;
不错;正品;,1;1;
满意;信赖;值得;快;,1;1;1;1;
上档次;满意;,1;1;
实惠;挺好;好评;,1;1;1;
不香;,-1;
不好用;,-1;
可以;暖手;厉害;可以;,1;1;1;1;
不满意;,-1;
真品;超快;,1;1;
不好;很好;,-1;1;
挺好;满意;,1;1;
还可以;信任;真实;失望;挺快;,1;1;1;-1;1;
裂纹;极差;无奈;无语;,-1;-1;-1;-1;
被骗;,-1;
严重;,-1;
合适;,1;
流畅;不行;很好;,1;-1;1;
很快;辛苦;好;不要犹豫;喜欢;很好;很快;,1;1;1;1;1;1;1;
一般般;,0;
吵;不干净;笨重;,-1;-1;-1;
,
,
还可以;,1;
好;,1;
,
满意;不是满意;挺好;很小;,1;-1;1;1;
不好;粗糙;,-1;-1;
实用;还可以;,1;1;
还可以;,1;
推荐;不错;很快;,1;1;1;
可以;,1;
腻腻的;,-1;
,
物美价廉;快;挺好;好评;,1;1;1;1;
一般;很脏;,0;-1;
被骗;差;可惜;,-1;-1;-1;
,
型;不错;放心;,1;1;1;
滋润;很多;好;难闻;很假;失望;干燥;失望;,1;1;1;-1;-1;-1;-1;-1;
满意;,1;
糟糕;假;,-1;-1;
难吸;洁面;一般;水润;不错;一致;,-1;1;0;1;1;1;
满意;,1;
,
,
干;不满;,-1;-1;
疼;挺好;,-1;1;
,
不干净;敏感;油腻;,-1;1;-1;
适合;省电;不占地方;好用;,1;1;1;1;
垃圾;,-1;
不错;很干;,1;-1;
不好;,-1;
,
很快;,1;
不是很好;,-1;
不是可心;一般;,-1;0;
便宜;,1;
不干净;不满意;,-1;-1;
,
贵;不错;,-1;1;
挺好;,1;
好;不错;超高;大方;简单;划算;,1;1;0;1;1;1;
不是差评;,1;
不好用;不贴合;,-1;-1;
不影响;纯粹;差评;好评;,0;1;-1;1;
好点;不给力;好用;,1;-1;1;
还可以;,1;
放心;正宗;,1;1;
,
负责;有问题;,1;-1;
过大;信任;卓越;有问题;卓越;不敢假;差评;过小;不对;,-1;1;1;-1;1;1;-1;-1;-1;
还行;,1;
不是正品;,-1;
好看;,1;
干净;,1;
垃圾;破;,-1;-1;
坑;,-1;
卓越;敏感;慎用;慢;重;很差;,1;1;-1;-1;-1;-1;
很干;不错;,-1;1;
垃圾;很滑;垃圾;,-1;1;-1;
不好;不好;,-1;-1;
满意;不错;,1;1;
慢;慢;,-1;-1;
不错;假货;不好用;厚;,1;-1;-1;0;
不给力;无语;很好;,-1;-1;1;
仔细;正常;好;差错;不亮;倒霉;,1;1;1;-1;-1;-1;
贵;喜欢;,-1;1;
不好用;不舒服;,-1;-1;
烫手;很大;,-1;1;
很好;好用;,1;1;
很糙;可以;,-1;1;
坏;太差;不值;失望;,-1;-1;-1;-1;
太差;,-1;
牛逼;,1;
可以;,1;
洁净;划算;,1;1;
糊涂;太少;将就;时尚;不鲜艳;不怎么满意;厚;好;次货;,-1;-1;-1;1;-1;-1;0;1;-1;
不错;较小;,1;-1;
,
,
,
辛苦;喜欢;漏出;,1;1;-1;
不错;满意;合适;舒服;,1;1;1;1;
,
漂亮;舒服;,1;1;
,
好评;,1;
知名;堕落;,1;-1;
不智能;必备;差;很多;智能;努力;,-1;1;-1;1;1;1;
一般;,0;
不错;喜欢;,1;1;
物有所值;,1;
坏;,-1;
不错;不错;高清;,1;1;1;
,
次品;脏;,-1;-1;
,
不好用;,-1;
不好;,-1;
便宜没好货;对不上;白买;,-1;-1;-1;
不错;保障;,1;1;
,
,
正品;快;很多;好看;好;可以;不错;耐心;喜欢;不错;好;价廉物美;很棒;短;,1;1;1;1;1;1;1;1;1;1;1;1;1;-1;
没事;很好;很快;,0;1;1;
一般般;不持久;,0;-1;
好;热情;满意;,1;1;1;
,
假货;痒;假货;严重;,-1;-1;-1;-1;
,
物美价廉;满意;,1;1;
很棒;快;好;,1;1;1;
垃圾;良心;不喜欢;合理;受潮;旧;,-1;1;-1;1;-1;-1;
好;,1;
错;不爽;,-1;-1;
不错;满意;,1;1;
还可以;,1;
还行;正品;很慢;,1;1;-1;
无语;便宜货;,-1;-1;
次品;超慢;差评;垃圾;,-1;-1;-1;-1;
一般;不是很好;不是喜欢;,0;-1;-1;
过期;干;快;失望;,-1;-1;1;-1;
好;,1;
不错;好;喜欢;很好;,1;1;1;1;
差;没有好吃;失望;,-1;-1;-1;
贵;,-1;
烫;不错;,-1;1;
一般;,0;
够用;滋润;不错;,1;1;1;
还好;,1;
不错;,1;
可以;很差;好东西;,1;-1;1;
,
小了点;贵;,-1;-1;
不错;配不上;,1;-1;
纠结;,-1;
坏;不有用;,-1;-1;
没有明显;公道;不错;,0;1;1;
便宜;随便;,1;-1;
挺好;,1;
好闻;,1;
迅速;满意;,1;1;
还好;,1;
搭理;过硬;,1;1;
很好;不错;物超所值;很棒;,1;1;1;1;
严重;碎;还可以;失望;严重;垃圾;松动;,-1;-1;1;-1;-1;-1;-1;
有用;不错;,1;1;
还好;怪怪的;,1;-1;
干净;赞;很好;喜欢;,1;1;1;1;
不错;,1;
失望;,-1;
杠杠的;,1;
一般;,0;
low;丑;,-1;-1;
差评;,-1;
,
一般般;不干净;好用;,0;-1;1;
快;,1;
小了点;,-1;
美中不足;,0;
不错;快;好用;,1;1;1;
还行;,1;
不错;,1;
漂亮;好;高;赞;,1;1;1;1;
很快;很好;,1;1;
失望;,-1;
漂亮;超薄;信赖;清晰;值得;简便;,1;1;1;1;1;1;
方便;,1;
正品;太差;本来假货;费;好大;好;,1;-1;1;-1;-1;1;
卡;不舒服;,-1;-1;
长;好;,1;1;
满意;,1;
不好;不咋地;,-1;-1;
不满意;到位;没什么可以;普通;满意;,-1;1;-1;0;1;
能用;慢;喜欢;实惠;,1;-1;1;1;
无语;,-1;
正品;差不多;,1;0;
不给力;,-1;
足;慢;,1;-1;
次;次品;坏;烫;烫手;倒霉;烫手;碎;不理;,-1;-1;-1;-1;-1;-1;-1;-1;-1;
漂亮;很好;小贵;,1;1;-1;
新;脏;,1;-1;
慢;,-1;
,
开心;,1;
坏;耐用;,-1;1;
舒服;最好;,1;1;
,
好看;新;容易;高;,1;1;1;1;
卡;实用;卡;,-1;1;-1;
,
很好;好;满意;,1;1;1;
,
油油的;不太好;古怪;,-1;-1;-1;
,
挺好;好;快;,1;1;1;
不错;,1;
锋利;容易;,1;1;
还可以;不错;,1;1;
不少;很干;可靠;正品;到位;不损伤;实惠;,1;-1;1;1;1;1;1;
能用;还可以;,1;1;
烂;不好;,-1;-1;
还好;差;差;,1;-1;-1;
变形;能用;新;快;不错;薄;,-1;1;1;1;1;0;
完好;不漏;苦味;最好;,1;1;-1;1;
难用;,-1;
正好;很好;,1;1;
不好用;好;,-1;1;
好用;方便;,1;1;
流畅;好用;,1;1;
坏;中看;太差;,-1;1;-1;
正品;不错;不咋的;,1;1;-1;
不好用;,-1;
硬;冒充;差;太差;,-1;-1;-1;-1;
坏;不结实;薄;容易;还行;,-1;-1;0;1;1;
耐用;喜欢;超好;好评;,1;1;1;1;
划算;挺好;高;,1;1;1;
浪费;没有清爽;好;蛮大;,-1;-1;1;1;
快;舒服;,1;1;
还行;不错;,1;1;
很滑;很干;很快;,1;-1;1;
不错;,1;
不错;很好;,1;1;
好;,1;
不太好;伤心;不严密;不能信任;,-1;-1;-1;-1;
,
很好;喜欢;快;,1;1;1;
喜欢;小了点;,1;-1;
漂亮;挺好;清新;满意;高大;,1;1;1;1;1;
,
高速;高清;,1;1;
不错;方便实用;清楚;,1;1;1;
物美价廉;不错;不大挺干;,1;1;1;
很多;费劲;,1;-1;
可以;好;随便;,1;1;-1;
正品;粘连;变色;不清晰;,1;-1;-1;-1;
看不清;清楚;,-1;1;
还行;不耐用;,1;-1;
垃圾;垃圾;,-1;-1;
满意;,1;
蓬松;干;,0;-1;
不错;太差;慢;,1;-1;-1;
坏;很差;,-1;-1;
破;,-1;
,
很好;功能齐全;高清;,1;1;1;
挺好;,1;
太短;还可以;,-1;1;
不错;很好;,1;1;
一般;很慢;,0;-1;
够用;没有快;高;,1;-1;1;
丝滑;柔软;不是合适;,1;1;-1;
好用;,1;
喜欢;可靠;,1;1;
,
不舒服;干;,-1;-1;
,
不推荐购买;不是很好;,-1;-1;
还行;,1;
挺好;,1;
还好;,1;
差;,-1;
充足;卡顿;,1;-1;
不好用;不怎么样;,-1;-1;
麻烦;方便;,-1;1;
没有还好;满意;,-1;1;
好;方便;,1;1;
慢;硬;,-1;-1;
还好;不好;麻烦;不咋的;坏;失望;,1;-1;-1;-1;-1;-1;
不好吃;,-1;
可怕;二手;,-1;-1;
满意;高大上;,1;1;
不行;一般;,-1;0;
挺好;,1;
还可以;,1;
好;,1;
值得;清晰;满意;,1;1;1;
,
一般;慢;,0;-1;
超值;很赞;值得;信赖;,1;1;1;1;
,
不行了;,0;
